district_id,district_name,area_km2,covered_500m_km2,covered_1000m_km2,covered_500m_percent,covered_1000m_percent,uncovered_500m_percent,uncovered_1000m_percent,rank_coverage_500m,rank_coverage_1000m
21,Abramowice,13.42,0.87,2.3,6.51,17.1,93.49,82.9,25,25
5,Bronowice,2.5,1.74,2.5,69.5,100.0,30.5,-0.0,11,10
8,Czechów Pd.,3.33,2.58,3.33,77.56,100.0,22.44,0.0,7,7
22,Czechów Płn.,5.92,3.07,5.44,51.86,91.9,48.14,8.1,14,14
7,Czuby Pd.,1.95,1.88,1.95,96.37,100.0,3.63,-0.0,3,3
26,Czuby Płn.,2.38,2.34,2.38,98.27,100.0,1.73,0.0,2,2
9,Dziesiąta,5.64,3.12,5.06,55.42,89.7,44.58,10.3,13,15
13,Felin,6.97,1.65,4.51,23.64,64.68,76.36,35.32,18,18
11,Głusk,5.7,0.73,2.77,12.76,48.65,87.24,51.35,23,22
18,Hajdów - Zadębie,9.08,0.0,0.31,0.0,3.38,100.0,96.62,26,27
3,Kalinowszczyzna,2.76,2.39,2.76,86.48,100.0,13.52,0.0,6,6
12,Konstantynów,1.94,1.37,1.94,70.65,100.0,29.35,0.0,10,9
17,Kośminek,6.44,1.5,4.04,23.24,62.74,76.76,37.26,19,19
25,Ponikwoda,11.54,2.03,4.07,17.58,35.28,82.42,64.72,22,23
16,Rury,3.59,3.35,3.59,93.4,100.0,6.6,0.0,4,4
6,Stare Miasto,0.94,0.68,0.94,72.47,100.0,27.53,0.0,8,8
24,Szerokie,3.49,0.0,0.31,0.0,8.78,100.0,91.22,27,26
23,Sławin,8.32,1.64,4.65,19.75,55.85,80.25,44.15,20,21
2,Sławinek,1.66,1.17,1.62,70.82,97.56,29.18,2.44,9,11
15,Tatary,2.99,1.78,2.8,59.56,93.79,40.44,6.21,12,12
1,Wieniawa,2.19,2.16,2.19,98.53,100.0,1.47,0.0,1,1
10,Wrotków,5.43,1.62,3.61,29.88,66.42,70.12,33.58,17,17
4,Węglin Pd.,5.05,2.33,3.65,46.21,72.35,53.79,27.65,15,16
20,Węglin Płn.,2.4,0.42,1.42,17.63,59.05,82.37,40.95,21,20
19,Za Cukrownią,2.42,0.73,2.27,30.01,93.64,69.99,6.36,16,13
27,Zemborzyce,25.65,2.23,9.0,8.71,35.09,91.29,64.91,24,24
14,Śródmieście,3.8,3.37,3.8,88.67,100.0,11.33,-0.0,5,5
